Weigth,TotalLength,BodyDepth,PectoralLength
79,20.8,2.9,3
114,23,4.3,3.9
76,20.9,2.9,3
119,23.5,3,3.4
131,25.1,3.2,3.5
287,31.5,5.2,4.5
182,27.6,4.5,4
200,28.8,4.2,4.5
252,29,4.6,4.4
301,32.5,4.6,4.7
252,29,4.1,4.3
253,30.1,4.1,4.9
246,28.9,4.1,4.3
259,30.2,4.6,4.7
161,27.3,4.1,4
364,34,4,5
423,37.5,4.6,5.5
333,32.5,4,4.4
320,31.5,4.5,4.5
150,26.2,3,3.6
282,31,3.5,4.3
317,30.5,4,4.3
369,33,4,4.7
398,33.5,4.4,4.1
364,34,4.5,5.2
340,33.5,3.6,4.5
308,32,4,4.6
346,35.5,4.9,4.6
641,42.5,5.5,6.5
702,42,5,6
190,29.2,4.2,4.8
196,27.1,3.9,4.2
213,29.1,4.2,4.2
186,27.7,4.2,4.3
213,28.8,4,4.1
107,32.8,4.1,4.3
267,29,3.9,4.3
217,28.1,4.3,4
152,25.4,3.7,4
274,31.2,4.4,4.5
337,34,5,4.7
233,29.2,4.4,4.1
254,30.9,4.6,4.3
289,33.8,4.3,5.1
491,41.8,5,5.8
757,49,7.1,7.1
702,49.5,7.5,6.8
842,47.1,7.4,6.4
496,39.9,5.1,6
544,39.5,5.2,5.7
656,44.2,6.4,7
399,36.3,5.2,5.8
553,39.7,5.4,6.2
573,40,4.1,6
1040,48.2,7,4.5
1020,52.1,6.2,8.2
912,38.5,6.9,7.1
184,27.3,4.1,4
262,32.5,4.6,4.7
241,31.1,4.4,4.5
286,32.3,4.3,4.5
216,29.3,4.3,4
284,34,4.3,4.7
285,33.4,4.3,4.8
119,23.5,3.8,3.5
279,32.5,3.9,3.1
232,31,4.3,4.2
234,29.1,4,4.4
208,28.6,4,2.6
181,28.8,3.9,3.3
248,29.5,3.8,3.8
312,34.1,4.5,3.1
319,33.2,4.3,4
331,35.4,4.2,4
403,34,4.5,3.6
351,36.5,4.2,3.8
386,34.3,4.7,3.1
452,35.4,4.6,3.2
358,33.9,4.5,4
471,37.4,4.3,4.5
375,35,4,4.3
347,38.3,3.6,4.5
